Event,Original Date,wikipage,Venue,Location,Ref,Notes
UFC Fight Night,"Aug 15, 2020",https://en.wikipedia.org/wiki/3Arena,3Arena,"Dublin, Ireland",[9],Postponed
UFC 251 or 252,"Jul 11, 2020",https://en.wikipedia.org/wiki/T-Mobile_Arena,T-Mobile Arena,"Las Vegas, Nevada, U.S.",[9],Postponed
UFC on ESPN 11,"Jun 27, 2020",https://en.wikipedia.org/wiki/UFC_on_ESPN_11,Frank Erwin Center,"Austin, Texas, U.S.",[9],Postponed
UFC Fight Night: Blaydes vs. Volkov,"Jun 20, 2020",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Volkov,SaskTel Centre,"Saskatoon, Saskatchewan, Canada",[9],Postponed
UFC Fight Night 176,"Jun 13, 2020",https://en.wikipedia.org/wiki/UFC_Fight_Night_176,Astana Arena,"Nur-Sultan, Kazakhstan",[9],Postponed
UFC 251,"Jun 6, 2020",https://en.wikipedia.org/wiki/UFC_251,Perth Arena,"Perth, Australia",[9],Postponed
UFC 250,"Jun 6, 2020",https://en.wikipedia.org/wiki/UFC_250,TBD,"TBD, U.S",[10],Planned
UFC Fight Night 175,"May 23, 2020",https://en.wikipedia.org/wiki/UFC_Fight_Night_175,UFC APEX,"Las Vegas, U.S.",[11],Planned
UFC on ESPN: Overeem vs. Harris,"May 16, 2020",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Overeem_vs._Harris,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",[12],Planned
UFC on ESPN: Smith vs. Teixeira,"May 13, 2020",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Smith_vs._Teixeira,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",[12],Planned
UFC 249: Ferguson vs. Gaethje,"May 9, 2020",https://en.wikipedia.org/wiki/UFC_249,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",[13],Planned
